national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical
027,I,Sandshrew,Sand,ground,ice,Mouse Pokémon,50.2,49.8,0.6,12.0,255,5120,50,75,85,20,30,40,"['Sand Veil', 'Sand Rush (Hidden) (Normal Forme)', 'Snow Cloak- Slush Rush (Hidden)  (Alola Form)']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.0,0.0,0.0
028,I,Sandslash,Sandpan,ground,ice,Mouse Pokémon,50.2,49.8,1.0,29.5,90,5120,75,100,110,45,55,65,"['Sand Veil', 'Sand Rush (Hidden) (Normal Forme)', 'Snow Cloak- Slush Rush (Hidden)  (Alola Form)']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.0,0.0,0.0
029,I,Nidoran♀,Nidoran?,poison,,Poison Pin Pokémon,0,100,0.4,7,235,5120,55,47,52,40,40,41,"['Poison Point', 'Rivalry', 'Hustle (Hidden Ability)']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.0,0.0,0.0
030,I,Nidorina,Nidorina,poison,,Poison Pin Pokémon,0,100,0.8,20.0,120,5120,70,62,67,55,55,56,"['Poison Point', 'Rivalry', 'Hustle (Hidden Ability)']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.0,0.0,0.0
031,I,Nidoqueen,Nidoqueen,poison,ground,Drill Pokémon,0,100,1.3,60.0,45,5120,90,92,87,75,85,76,"['Poison Point', 'Rivalry', 'Sheer Force (Hidden Ability)']",1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0.0,0.0,0.0
032,I,Nidoran♂,Nidoran?,poison,,Poison Pin Pokémon,100,0,0.5,9,235,5120,46,57,40,40,40,50,"['Poison Point', 'Rivalry', 'Hustle (Hidden Ability)']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.0,0.0,0.0
033,I,Nidorino,Nidorino,poison,,Poison Pin Pokémon,100,0,0.9,19.5,120,5120,61,72,57,55,55,65,"['Poison Point', 'Rivalry', 'Hustle (Hidden Ability)']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.0,0.0,0.0
034,I,Nidoking,Nidoking,poison,ground,Drill Pokémon,100,0,1.4,62.0,45,5120,81,102,77,85,75,85,"['Poison Point', 'Rivalry', 'Sheer Force (Hidden Ability)']",1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0.0,0.0,0.0
035,I,Clefairy,Pippi,fairy,,Fairy Pokémon,24.9,75.1,0.6,7.5,150,2560,70,45,48,60,65,35,"['Cute Charm', 'Magic Guard', 'Friend Guard (Hidden Ability)']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.0,0.0,0.0
036,I,Clefable,Pixy,fairy,,Fairy Pokémon,24.9,75.1,1.3,40.0,25,2560,95,70,73,95,90,60,"['Cute Charm', 'Magic Guard', 'Unaware (Hidden Ability)']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.0,0.0,0.0
037,I,Vulpix,Rokon,fire,ice,Fox Pokémon,24.9,75.1,0.6,9.9,190,5120,38,41,40,50,65,65,"['Flash Fire', 'Drought (Hidden) (Normal Forme)', 'Snow Cloak- Snow Warning (Hidden)  (Alola Form)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
038,I,Ninetales,Kyukon,fire,ice,Fox Pokémon,24.9,75.1,1.1,19.9,75,5120,73,76,75,81,100,100,"['Flash Fire', 'Drought (Hidden) (Normal Forme)', 'Snow Cloak- Snow Warning (Hidden)  (Alola Form)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
039,I,Jigglypuff,Purin,normal,fairy,Balloon Pokémon,24.9,75.1,0.5,5.5,170,2560,115,45,20,45,25,20,"['Cute Charm', 'Competitive', 'Friend Guard (Hidden Ability)']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0.0,0.0,0.0
040,I,Wigglytuff,Pukurin,normal,fairy,Balloon Pokémon,24.9,75.1,1.0,12.0,50,2560,140,70,45,85,50,45,"['Cute Charm', 'Competitive', 'Frisk (Hidden Ability)']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0.0,0.0,0.0
041,I,Zubat,Zubat,poison,flying,Bat Pokémon,50.2,49.8,0.8,7.5,255,3840,40,45,35,30,40,55,"['Inner Focus', 'Infiltrator (Hidden Ability)']",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0.0,0.0,0.0
042,I,Golbat,Golbat,poison,flying,Bat Pokémon,50.2,49.8,1.6,55.0,90,3840,75,80,70,65,75,90,"['Inner Focus', 'Infiltrator (Hidden Ability)']",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0.0,0.0,0.0
043,I,Oddish,Nazonokusa,grass,poison,Weed Pokémon,50.2,49.8,0.5,5.4,255,5120,45,50,55,75,65,30,"['Chlorophyll', 'Run Away (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
044,I,Gloom,Kusaihana,grass,poison,Weed Pokémon,50.2,49.8,0.8,8.6,120,5120,60,65,70,85,75,40,"['Chlorophyll', 'Stench (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
045,I,Vileplume,Ruffresia,grass,poison,Flower Pokémon,50.2,49.8,1.2,18.6,45,5120,75,80,85,110,90,50,"['Chlorophyll', 'Effect Spore (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
046,I,Paras,Paras,bug,grass,Mushroom Pokémon,50,50,0.3,5.4,190,5120,35,70,55,45,55,25,"['Effect Spore', 'Dry Skin', 'Damp (Hidden Ability)']",1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0.0,0.0,0.0
047,I,Parasect,Parasect,bug,grass,Mushroom Pokémon,50,50,1,29.5,75,5120,60,95,80,60,80,30,"['Effect Spore', 'Dry Skin', 'Damp (Hidden Ability)']",1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0.0,0.0,0.0
048,I,Venonat,Kongpang,bug,poison,Insect Pokémon,50,50,1,30,190,5120,60,55,50,40,55,45,"['Compound Eyes', 'Tinted Lens', 'Run Away (Hidden Ability)']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
049,I,Venomoth,Morphon,bug,poison,Poison Moth Pokémon,50,50,1.5,12.5,75,5120,70,65,60,90,75,90,"['Shield Dust', 'Tinted Lens', 'Wonder Skin (Hidden Ability)']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
050,I,Diglett,Digda,ground,ground,Mole Pokémon,50.2,49.8,0.2,0.8,255,5120,10,55,25,35,45,95,"['Sand Veil', 'Arena Trap', 'Sand Force (Hidden) (Normal Forme)', 'Sand Veil- Tangling Hair', 'Sand Force (Hidden)  (Alola Form)']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.0,0.0,0.0
051,I,Dugtrio,Dugtrio,ground,ground,Mole Pokémon,50.2,49.8,0.7,33.3,50,5120,35,100,50,50,70,120,"['Sand Veil', 'Arena Trap', 'Sand Force (Hidden) (Normal Forme)', 'Sand Veil- Tangling Hair', 'Sand Force (Hidden)  (Alola Form)']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.0,0.0,0.0
052,I,Meowth,Nyarth,normal,dark,Scratch Cat Pokémon,50.2,49.8,0.4,4.2,255,5120,40,45,35,40,40,90,"['Pickup', 'Technician', 'Unnerve (Hidden) (Normal Forme)', 'Pickup- Technician', 'Rattled (Hidden)  (Alola Form)', 'Pickup- Tough Claws', 'Unnerve (Hidden)  (Galarian Form)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
053,I,Persian,Persian,normal,dark,Classy Cat Pokémon,50.2,49.8,1.0,32.0,90,5120,65,70,60,65,65,115,"['Limber', 'Technician', 'Unnerve (Hidden) (Normal Forme)', 'Fur Coat- Technician', 'Rattled (Hidden)  (Alola Form)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
054,I,Psyduck,Koduck,water,,Duck Pokémon,50.2,49.8,0.8,19.6,190,5120,50,52,48,65,50,55,"['Damp', 'Cloud Nine', 'Swift Swim (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
055,I,Golduck,Golduck,water,,Duck Pokémon,50.2,49.8,1.7,76.6,75,5120,80,82,78,95,80,85,"['Damp', 'Cloud Nine', 'Swift Swim (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
056,I,Mankey,Mankey,fighting,,Pig Monkey Pokémon,50,50,0.5,28,190,5120,40,80,35,35,45,70,"['Vital Spirit', 'Anger Point', 'Defiant (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
057,I,Primeape,Okorizaru,fighting,,Pig Monkey Pokémon,50,50,1,32,75,5120,65,105,60,60,70,95,"['Vital Spirit', 'Anger Point', 'Defiant (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
058,I,Growlithe,Gardie,fire,,Puppy Pokémon,75.49,24.51,0.7,19.0,190,5120,55,70,45,70,50,60,"['Intimidate', 'Flash Fire', 'Justified (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
059,I,Arcanine,Windie,fire,,Legendary Pokémon,75.49,24.51,1.9,155.0,75,5120,90,110,80,100,80,95,"['Intimidate', 'Flash Fire', 'Justified (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
060,I,Poliwag,Nyoromo,water,,Tadpole Pokémon,50.2,49.8,0.6,12.4,255,5120,40,50,40,40,40,90,"['Water Absorb', 'Damp', 'Swift Swim (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
061,I,Poliwhirl,Nyorozo,water,,Tadpole Pokémon,50.2,49.8,1.0,20.0,120,5120,65,65,65,50,50,90,"['Water Absorb', 'Damp', 'Swift Swim (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
062,I,Poliwrath,Nyorobon,water,fighting,Tadpole Pokémon,50.2,49.8,1.3,54.0,45,5120,90,95,95,70,90,70,"['Water Absorb', 'Damp', 'Swift Swim (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,0.0,0.0,0.0
063,I,Abra,Casey,psychic,,Psi Pokémon,75.49,24.51,0.9,19.5,200,5120,25,20,15,105,55,90,"['Synchronize', 'Inner Focus', 'Magic Guard (Hidden Ability)']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.0,0.0,0.0
064,I,Kadabra,Yungerer,psychic,,Psi Pokémon,75.49,24.51,1.3,56.5,100,5120,40,35,30,120,70,105,"['Synchronize', 'Inner Focus', 'Magic Guard (Hidden Ability)']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.0,0.0,0.0
065,I,Alakazam,Foodin,psychic,,Psi Pokémon,75.49,24.51,1.5,48.0,50,5120,55,50,45,135,95,120,"['Synchronize', 'Inner Focus', 'Magic Guard (Hidden Ability)']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.0,0.0,0.0
066,I,Machop,Wanriky,fighting,,Superpower Pokémon,75.49,24.51,0.8,19.5,180,5120,70,80,50,35,35,35,"['Guts', 'No Guard', 'Steadfast (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
067,I,Machoke,Goriky,fighting,,Superpower Pokémon,75.49,24.51,1.5,70.5,90,5120,80,100,70,50,60,45,"['Guts', 'No Guard', 'Steadfast (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
068,I,Machamp,Kairiky,fighting,,Superpower Pokémon,75.49,24.51,1.6,130.0,45,5120,90,130,80,65,85,55,"['Guts', 'No Guard', 'Steadfast (Hidden Ability)']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.0,0.0,0.0
069,I,Bellsprout,Madatsubomi,grass,poison,Flower Pokémon,50,50,0.7,4,255,5120,50,75,35,70,30,40,"['Chlorophyll', 'Gluttony (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
070,I,Weepinbell,Utsudon,grass,poison,Flycatcher Pokémon,50,50,1,6.4,120,5120,65,90,50,85,45,55,"['Chlorophyll', 'Gluttony (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
071,I,Victreebel,Utsubot,grass,poison,Flycatcher Pokémon,50,50,1.7,15.5,45,5120,80,105,65,100,70,70,"['Chlorophyll', 'Gluttony (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
072,I,Tentacool,Menokurage,water,poison,Jellyfish Pokémon,50.2,49.8,0.9,45.5,190,5120,40,40,35,50,100,70,"['Clear Body', 'Liquid Ooze', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.0,0.0,0.0
073,I,Tentacruel,Dokukurage,water,poison,Jellyfish Pokémon,50.2,49.8,1.6,55.0,60,5120,80,70,65,80,120,100,"['Clear Body', 'Liquid Ooze', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.0,0.0,0.0
074,I,Geodude,Isitsubute,rock,ground,Rock Pokémon,50,50,0.4,20,255,3840,40,80,100,30,30,20,"['Rock Head', 'Sturdy', 'Sand Veil (Hidden) (Normal Forme)', 'Magnet Pull- Sturdy', 'Galvanize (Hidden)  (Alola Form)']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.0,0.0,0.0
075,I,Graveler,Golone,rock,ground,Rock Pokémon,50,50,1,105,120,3840,55,95,115,45,45,35,"['Rock Head', 'Sturdy', 'Sand Veil (Hidden) (Normal Forme)', 'Magnet Pull- Sturdy', 'Galvanize (Hidden)  (Alola Form)']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.0,0.0,0.0
076,I,Golem,Golonya,rock,ground,Megaton Pokémon,50,50,1.4,300,45,3840,80,120,130,55,65,45,"['Rock Head', 'Sturdy', 'Sand Veil (Hidden) (Normal Forme)', 'Magnet Pull- Sturdy', 'Galvanize (Hidden)  (Alola Form)']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.0,0.0,0.0
077,I,Ponyta,Ponyta,fire,psychic,Fire Horse Pokémon (Kantonian)Unique Horn Pokémon (Galarian),50.2,49.8,1.0,30.0,190,5120,50,85,55,65,65,90,"['Run Away', 'Flash Fire', 'Flame Body (Hidden) (Normal Forme)', 'Run Away- Pastel Veil', 'Anticipation (Hidden)  (Galarian Form)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
078,I,Rapidash,Gallop,fire,psychic,Fire Horse Pokémon (Kantonian)Unique Horn Pokémon (Galarian),50.2,49.8,1.7,95.0,60,5120,65,100,70,80,80,105,"['Run Away', 'Flash Fire', 'Flame Body (Hidden) (Normal Forme)', 'Run Away- Pastel Veil', 'Anticipation (Hidden)  (Galarian Form)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
079,I,Slowpoke,Yadon,water,psychic,Dopey Pokémon,50.2,49.8,1.2,36.0,190,5120,90,65,65,40,40,15,"['Oblivious', 'Own Tempo', 'Regenerator (Hidden) (Normal Forme)', 'Gluttony- Own Tempo', 'Regenerator (Hidden)  (Galarian Form)']",1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,0.0,0.0,0.0
080,I,Slowbro,Yadoran,water,psychic,Hermit Crab Pokémon,50.2,49.8,1.6,78.5,75,5120,95,75,110,100,80,30,"['Oblivious', 'Own Tempo', 'Regenerator (Hidden) (Normal Forme)', 'Quick Draw- Own Tempo', 'Regenerator (Hidden)  (Galarian Form)']",1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,0.0,0.0,0.0
081,I,Magnemite,Coil,electric,steel,Magnet Pokémon,,,0.3,6.0,190,5120,25,35,70,95,55,45,"['Magnet Pull', 'Sturdy', 'Analytic (Hidden Ability)']",0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0.0,0.0,0.0
082,I,Magneton,Rarecoil,electric,steel,Magnet Pokémon,,,1.0,60.0,60,5120,50,60,95,120,70,70,"['Magnet Pull', 'Sturdy', 'Analytic (Hidden Ability)']",0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0.0,0.0,0.0
083,I,Farfetch'd,Kamonegi,normal,flying,Wild Duck Pokémon,50.2,49.8,0.8,15.0,45,5120,52,90,55,58,62,60,"['Keen Eye', 'Inner Focus', 'Defiant (Hidden) (Normal Forme)', 'Steadfast- Scrappy (Hidden)  (Galarian Form)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
084,I,Doduo,Dodo,normal,flying,Twin Bird Pokémon,50,50,1.4,39.2,190,5120,35,85,45,35,35,75,"['Run Away', 'Early Bird', 'Tangled Feet (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
085,I,Dodrio,Dodorio,normal,flying,Triple Bird Pokémon,50,50,1.8,85.2,45,5120,60,110,70,60,60,110,"['Run Away', 'Early Bird', 'Tangled Feet (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
