national_number,english_name,stat_name,stat_value
930,Arboliva,hp,78
931,Squawkabilly,hp,82
932,Nacli,hp,55
933,Naclstack,hp,60
934,Garganacl,hp,100
935,Charcadet,hp,40
936,Armarouge,hp,85
937,Ceruledge,hp,75
938,Tadbulb,hp,61
939,Bellibolt,hp,109
940,Wattrel,hp,40
941,Kilowattrel,hp,70
942,Maschiff,hp,60
943,Mabosstiff,hp,80
944,Shroodle,hp,40
945,Grafaiai,hp,63
946,Bramblin,hp,40
947,Brambleghast,hp,55
948,Toedscool,hp,40
949,Toedscruel,hp,80
950,Klawf,hp,70
951,Capsakid,hp,50
952,Scovillain,hp,65
953,Rellor,hp,41
954,Rabsca,hp,75
955,Flittle,hp,30
956,Espathra,hp,95
957,Tinkatink,hp,50
958,Tinkatuff,hp,65
959,Tinkaton,hp,85
960,Wiglett,hp,10
961,Wugtrio,hp,35
962,Bombirdier,hp,70
963,Finizen,hp,70
964,Palafin,hp,100
965,Varoom,hp,45
966,Revavroom,hp,80
967,Cyclizar,hp,70
968,Orthworm,hp,70
969,Glimmet,hp,48
970,Glimmora,hp,83
971,Greavard,hp,50
972,Houndstone,hp,72
973,Flamigo,hp,82
974,Cetoddle,hp,108
975,Cetitan,hp,170
976,Veluza,hp,90
977,Dondozo,hp,150
978,Tatsugiri,hp,68
979,Annihilape,hp,110
980,Clodsire,hp,130
981,Farigiraf,hp,120
982,Dudunsparce,hp,125
983,Kingambit,hp,100
984,Great Tusk,hp,115
985,Scream Tail,hp,115
986,Brute Bonnet,hp,111
987,Flutter Mane,hp,55
988,Slither Wing,hp,85
989,Sandy Shocks,hp,85
990,Iron Treads,hp,90
991,Iron Bundle,hp,56
992,Iron Hands,hp,154
993,Iron Jugulis,hp,94
994,Iron Moth,hp,80
995,Iron Thorns,hp,100
996,Frigibax,hp,65
997,Arctibax,hp,90
998,Baxcalibur,hp,115
999,Gimmighoul,hp,45
1000,Gholdengo,hp,87
1001,Wo-Chien,hp,85
1002,Chien-Pao,hp,80
1003,Ting-Lu,hp,155
1004,Chi-Yu,hp,55
1005,Roaring Moon,hp,105
1006,Iron Valiant,hp,74
1007,Koraidon,hp,100
1008,Miraidon,hp,100
1009,Walking Wake,hp,99
1010,Iron Leaves,hp,90
1011,Dipplin,hp,80
1012,Poltchageist,hp,40
1013,Sinistcha,hp,71
1014,Okidogi,hp,88
1015,Munkidori,hp,88
1016,Fezandipiti,hp,88
1017,Ogerpon,hp,80
1018,Archaludon,hp,90
1019,Hydrapple,hp,106
1020,Gouging Fire,hp,105
1021,Raging Bolt,hp,125
1022,Iron Boulder,hp,90
1023,Iron Crown,hp,90
1024,Terapagos,hp,90
1025,Pecharunt,hp,88
1,Bulbasaur,attack,49
2,Ivysaur,attack,62
3,Venusaur,attack,82
4,Charmander,attack,52
5,Charmeleon,attack,64
6,Charizard,attack,84
7,Squirtle,attack,48
8,Wartortle,attack,63
9,Blastoise,attack,83
10,Caterpie,attack,30
11,Metapod,attack,20
12,Butterfree,attack,45
13,Weedle,attack,35
14,Kakuna,attack,25
15,Beedrill,attack,90
16,Pidgey,attack,45
17,Pidgeotto,attack,60
18,Pidgeot,attack,80
19,Rattata,attack,56
20,Raticate,attack,81
21,Spearow,attack,60
22,Fearow,attack,90
23,Ekans,attack,60
24,Arbok,attack,95
25,Pikachu,attack,55
26,Raichu,attack,90
27,Sandshrew,attack,75
28,Sandslash,attack,100
29,Nidoran♀,attack,47
30,Nidorina,attack,62
31,Nidoqueen,attack,92
32,Nidoran♂,attack,57
33,Nidorino,attack,72
34,Nidoking,attack,102
35,Clefairy,attack,45
36,Clefable,attack,70
37,Vulpix,attack,41
38,Ninetales,attack,76
39,Jigglypuff,attack,45
40,Wigglytuff,attack,70
41,Zubat,attack,45
42,Golbat,attack,80
43,Oddish,attack,50
44,Gloom,attack,65
45,Vileplume,attack,80
46,Paras,attack,70
47,Parasect,attack,95
48,Venonat,attack,55
49,Venomoth,attack,65
50,Diglett,attack,55
51,Dugtrio,attack,100
52,Meowth,attack,45
53,Persian,attack,70
54,Psyduck,attack,52
55,Golduck,attack,82
56,Mankey,attack,80
57,Primeape,attack,105
