english_name,class_primary,class_secondary,attack,gen,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,votes_first,votes_top_6,num_abilities,evo_length,has_mega_evolution,has_gigantamax,rarity
Raichu,6,4,90.0,1.0,50.2,49.8,0.8,30.0,75.0,2560.0,60.0,55.0,90.0,80.0,110.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,22.0,64.0,3.0,5.0,0.0,0.0,0.0
Sandshrew,7,5,75.0,1.0,50.2,49.8,0.6,12.0,255.0,5120.0,50.0,85.0,20.0,30.0,40.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,18.0,2.0,3.0,0.0,0.0,0.0
Sandslash,7,5,100.0,1.0,50.2,49.8,1.0,29.5,90.0,5120.0,75.0,110.0,45.0,55.0,65.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,8.0,27.0,2.0,3.0,0.0,0.0,0.0
Nidoran♀,5,1,47.0,1.0,0.0,100.0,0.4,7.0,235.0,5120.0,55.0,52.0,40.0,40.0,41.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4.0,3.0,7.0,0.0,0.0,0.0
Nidorina,5,1,62.0,1.0,0.0,100.0,0.8,20.0,120.0,5120.0,70.0,67.0,55.0,55.0,56.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,2.0,3.0,7.0,0.0,0.0,0.0
Nidoqueen,5,6,92.0,1.0,0.0,100.0,1.3,60.0,45.0,5120.0,90.0,87.0,75.0,85.0,76.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,10.0,3.0,7.0,0.0,0.0,0.0
Nidoran♂,5,1,57.0,1.0,100.0,0.0,0.5,9.0,235.0,5120.0,46.0,40.0,40.0,40.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,2.0,3.0,7.0,0.0,0.0,0.0
Nidorino,5,1,72.0,1.0,100.0,0.0,0.9,19.5,120.0,5120.0,61.0,57.0,55.0,55.0,65.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,3.0,3.0,7.0,0.0,0.0,0.0
Nidoking,5,6,102.0,1.0,100.0,0.0,1.4,62.0,45.0,5120.0,81.0,77.0,85.0,75.0,85.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,12.0,84.0,3.0,7.0,0.0,0.0,0.0
Clefairy,8,1,45.0,1.0,24.9,75.1,0.6,7.5,150.0,2560.0,70.0,48.0,60.0,65.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,3.0,9.0,3.0,5.0,0.0,0.0,0.0
Clefable,8,1,70.0,1.0,24.9,75.1,1.3,40.0,25.0,2560.0,95.0,73.0,95.0,90.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,3.0,15.0,3.0,5.0,0.0,0.0,0.0
Vulpix,1,5,41.0,1.0,24.9,75.1,0.6,9.9,190.0,5120.0,38.0,40.0,50.0,65.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,8.0,38.0,2.0,3.0,0.0,0.0,0.0
Ninetales,1,5,76.0,1.0,24.9,75.1,1.1,19.9,75.0,5120.0,73.0,75.0,81.0,100.0,100.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,20.0,73.0,2.0,3.0,0.0,0.0,0.0
Jigglypuff,4,7,45.0,1.0,24.9,75.1,0.5,5.5,170.0,2560.0,115.0,20.0,45.0,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,7.0,17.0,3.0,5.0,0.0,0.0,0.0
Wigglytuff,4,7,70.0,1.0,24.9,75.1,1.0,12.0,50.0,2560.0,140.0,45.0,85.0,50.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,3.0,13.0,3.0,5.0,0.0,0.0,0.0
Zubat,5,2,45.0,1.0,50.2,49.8,0.8,7.5,255.0,3840.0,40.0,35.0,30.0,40.0,55.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,3.0,2.0,2.0,5.0,0.0,0.0,0.0
Golbat,5,2,80.0,1.0,50.2,49.8,1.6,55.0,90.0,3840.0,75.0,70.0,65.0,75.0,90.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,2.0,5.0,0.0,0.0,0.0
Oddish,0,0,50.0,1.0,50.2,49.8,0.5,5.4,255.0,5120.0,45.0,55.0,75.0,65.0,30.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,3.0,11.0,2.0,7.0,0.0,0.0,0.0
Gloom,0,0,65.0,1.0,50.2,49.8,0.8,8.6,120.0,5120.0,60.0,70.0,85.0,75.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,2.0,7.0,0.0,0.0,0.0
Vileplume,0,0,80.0,1.0,50.2,49.8,1.2,18.6,45.0,5120.0,75.0,85.0,110.0,90.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,4.0,20.0,2.0,5.0,0.0,0.0,0.0
Paras,3,8,70.0,1.0,50.0,50.0,0.3,5.4,190.0,5120.0,35.0,55.0,45.0,55.0,25.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0
Parasect,3,8,95.0,1.0,50.0,50.0,1.0,29.5,75.0,5120.0,60.0,80.0,60.0,80.0,30.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0
Venonat,3,0,55.0,1.0,50.0,50.0,1.0,30.0,190.0,5120.0,60.0,50.0,40.0,55.0,45.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,3.0,3.0,0.0,0.0,0.0
Venomoth,3,0,65.0,1.0,50.0,50.0,1.5,12.5,75.0,5120.0,70.0,60.0,90.0,75.0,90.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,2.0,6.0,3.0,3.0,0.0,0.0,0.0
Diglett,7,6,55.0,1.0,50.2,49.8,0.2,0.8,255.0,5120.0,10.0,25.0,35.0,45.0,95.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0
Dugtrio,7,6,100.0,1.0,50.2,49.8,0.7,33.3,50.0,5120.0,35.0,50.0,50.0,70.0,120.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0
Meowth,4,3,45.0,1.0,50.2,49.8,0.4,4.2,255.0,5120.0,40.0,35.0,40.0,40.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,13.0,3.0,3.0,0.0,1.0,0.0
Persian,4,3,70.0,1.0,50.2,49.8,1.0,32.0,90.0,5120.0,65.0,60.0,65.0,65.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0
Psyduck,2,1,52.0,1.0,50.2,49.8,0.8,19.6,190.0,5120.0,50.0,48.0,65.0,50.0,55.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,8.0,32.0,3.0,3.0,0.0,0.0,0.0
Golduck,2,1,82.0,1.0,50.2,49.8,1.7,76.6,75.0,5120.0,80.0,78.0,95.0,80.0,85.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0
Mankey,9,1,80.0,1.0,50.0,50.0,0.5,28.0,190.0,5120.0,40.0,35.0,35.0,45.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
Primeape,9,1,105.0,1.0,50.0,50.0,1.0,32.0,75.0,5120.0,65.0,60.0,60.0,70.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0
Growlithe,1,1,70.0,1.0,75.49,24.51,0.7,19.0,190.0,5120.0,55.0,45.0,70.0,50.0,60.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2.0,25.0,3.0,3.0,0.0,0.0,0.0
Arcanine,1,1,110.0,1.0,75.49,24.51,1.9,155.0,75.0,5120.0,90.0,80.0,100.0,80.0,95.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,29.0,118.0,3.0,3.0,0.0,0.0,0.0
Poliwag,2,1,50.0,1.0,50.2,49.8,0.6,12.4,255.0,5120.0,40.0,40.0,40.0,40.0,90.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,4.0,3.0,7.0,0.0,0.0,0.0
Poliwhirl,2,1,65.0,1.0,50.2,49.8,1.0,20.0,120.0,5120.0,65.0,65.0,50.0,50.0,90.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4.0,12.0,3.0,7.0,0.0,0.0,0.0
Poliwrath,2,9,95.0,1.0,50.2,49.8,1.3,54.0,45.0,5120.0,90.0,95.0,70.0,90.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,1.0,10.0,3.0,5.0,0.0,0.0,0.0
Abra,10,1,20.0,1.0,75.49,24.51,0.9,19.5,200.0,5120.0,25.0,15.0,105.0,55.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,3.0,5.0,0.0,0.0,0.0
Kadabra,10,1,35.0,1.0,75.49,24.51,1.3,56.5,100.0,5120.0,40.0,30.0,120.0,70.0,105.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,11.0,3.0,5.0,0.0,0.0,0.0
Alakazam,10,1,50.0,1.0,75.49,24.51,1.5,48.0,50.0,5120.0,55.0,45.0,135.0,95.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,10.0,51.0,3.0,5.0,1.0,0.0,0.0
Machop,9,1,80.0,1.0,75.49,24.51,0.8,19.5,180.0,5120.0,70.0,50.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0
Machoke,9,1,100.0,1.0,75.49,24.51,1.5,70.5,90.0,5120.0,80.0,70.0,50.0,60.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0
Machamp,9,1,130.0,1.0,75.49,24.51,1.6,130.0,45.0,5120.0,90.0,80.0,65.0,85.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,2.0,20.0,3.0,5.0,0.0,1.0,0.0
Bellsprout,0,0,75.0,1.0,50.0,50.0,0.7,4.0,255.0,5120.0,50.0,35.0,70.0,30.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4.0,2.0,5.0,0.0,0.0,0.0
Weepinbell,0,0,90.0,1.0,50.0,50.0,1.0,6.4,120.0,5120.0,65.0,50.0,85.0,45.0,55.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,2.0,5.0,0.0,0.0,0.0
Victreebel,0,0,105.0,1.0,50.0,50.0,1.7,15.5,45.0,5120.0,80.0,65.0,100.0,70.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.0,2.0,5.0,0.0,0.0,0.0
Tentacool,2,0,40.0,1.0,50.2,49.8,0.9,45.5,190.0,5120.0,40.0,35.0,50.0,100.0,70.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Tentacruel,2,0,70.0,1.0,50.2,49.8,1.6,55.0,60.0,5120.0,80.0,65.0,80.0,120.0,100.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,6.0,3.0,3.0,0.0,0.0,0.0
Geodude,11,6,80.0,1.0,50.0,50.0,0.4,20.0,255.0,3840.0,40.0,100.0,30.0,30.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0
Graveler,11,6,95.0,1.0,50.0,50.0,1.0,105.0,120.0,3840.0,55.0,115.0,45.0,45.0,35.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0
Golem,11,6,120.0,1.0,50.0,50.0,1.4,300.0,45.0,3840.0,80.0,130.0,55.0,65.0,45.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,12.0,3.0,5.0,0.0,0.0,0.0
Ponyta,1,10,85.0,1.0,50.2,49.8,1.0,30.0,190.0,5120.0,50.0,55.0,65.0,65.0,90.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.0,7.0,3.0,3.0,0.0,0.0,0.0
Rapidash,1,10,100.0,1.0,50.2,49.8,1.7,95.0,60.0,5120.0,65.0,70.0,80.0,80.0,105.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,14.0,3.0,3.0,0.0,0.0,0.0
Slowpoke,2,10,65.0,1.0,50.2,49.8,1.2,36.0,190.0,5120.0,90.0,65.0,40.0,40.0,15.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,4.0,24.0,3.0,7.0,0.0,0.0,0.0
Slowbro,2,10,75.0,1.0,50.2,49.8,1.6,78.5,75.0,5120.0,95.0,110.0,100.0,80.0,30.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,6.0,27.0,3.0,7.0,1.0,0.0,0.0
Magnemite,6,11,35.0,1.0,0.0,0.0,0.3,6.0,190.0,5120.0,25.0,70.0,95.0,55.0,45.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,2.0,13.0,3.0,5.0,0.0,0.0,0.0
Magneton,6,11,60.0,1.0,0.0,0.0,1.0,60.0,60.0,5120.0,50.0,95.0,120.0,70.0,70.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,6.0,10.0,3.0,5.0,0.0,0.0,0.0
Farfetch'd,4,2,90.0,1.0,50.2,49.8,0.8,15.0,45.0,5120.0,52.0,55.0,58.0,62.0,60.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,4.0,13.0,3.0,3.0,0.0,0.0,0.0
Doduo,4,2,85.0,1.0,50.0,50.0,1.4,39.2,190.0,5120.0,35.0,45.0,35.0,35.0,75.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0
