gen,english_name,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,votes_first,votes_top_6,num_abilities,evo_length,has_mega_evolution,has_gigantamax,rarity,class_primary,class_secondary
1.0,Zubat,50.2,49.8,0.8,7.5,255.0,3840.0,40.0,45.0,35.0,30.0,40.0,55.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,3.0,2.0,2.0,5.0,0.0,0.0,0.0,5,2
1.0,Golbat,50.2,49.8,1.6,55.0,90.0,3840.0,75.0,80.0,70.0,65.0,75.0,90.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,2.0,5.0,0.0,0.0,0.0,5,2
1.0,Oddish,50.2,49.8,0.5,5.4,255.0,5120.0,45.0,50.0,55.0,75.0,65.0,30.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,3.0,11.0,2.0,7.0,0.0,0.0,0.0,0,0
1.0,Gloom,50.2,49.8,0.8,8.6,120.0,5120.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,5.0,2.0,7.0,0.0,0.0,0.0,0,0
1.0,Vileplume,50.2,49.8,1.2,18.6,45.0,5120.0,75.0,80.0,85.0,110.0,90.0,50.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,4.0,20.0,2.0,5.0,0.0,0.0,0.0,0,0
1.0,Paras,50.0,50.0,0.3,5.4,190.0,5120.0,35.0,70.0,55.0,45.0,55.0,25.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,3,8
1.0,Parasect,50.0,50.0,1.0,29.5,75.0,5120.0,60.0,95.0,80.0,60.0,80.0,30.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,3,8
1.0,Venonat,50.0,50.0,1.0,30.0,190.0,5120.0,60.0,55.0,50.0,40.0,55.0,45.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,3.0,3.0,3.0,0.0,0.0,0.0,3,0
1.0,Venomoth,50.0,50.0,1.5,12.5,75.0,5120.0,70.0,65.0,60.0,90.0,75.0,90.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,2.0,6.0,3.0,3.0,0.0,0.0,0.0,3,0
1.0,Diglett,50.2,49.8,0.2,0.8,255.0,5120.0,10.0,55.0,25.0,35.0,45.0,95.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,7,6
1.0,Dugtrio,50.2,49.8,0.7,33.3,50.0,5120.0,35.0,100.0,50.0,50.0,70.0,120.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,7,6
1.0,Meowth,50.2,49.8,0.4,4.2,255.0,5120.0,40.0,45.0,35.0,40.0,40.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,13.0,3.0,3.0,0.0,1.0,0.0,4,3
1.0,Persian,50.2,49.8,1.0,32.0,90.0,5120.0,65.0,70.0,60.0,65.0,65.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,4,3
1.0,Psyduck,50.2,49.8,0.8,19.6,190.0,5120.0,50.0,52.0,48.0,65.0,50.0,55.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,8.0,32.0,3.0,3.0,0.0,0.0,0.0,2,1
1.0,Golduck,50.2,49.8,1.7,76.6,75.0,5120.0,80.0,82.0,78.0,95.0,80.0,85.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,2,1
1.0,Mankey,50.0,50.0,0.5,28.0,190.0,5120.0,40.0,80.0,35.0,35.0,45.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,9,1
1.0,Primeape,50.0,50.0,1.0,32.0,75.0,5120.0,65.0,105.0,60.0,60.0,70.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0,9,1
1.0,Growlithe,75.49,24.51,0.7,19.0,190.0,5120.0,55.0,70.0,45.0,70.0,50.0,60.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2.0,25.0,3.0,3.0,0.0,0.0,0.0,1,1
1.0,Arcanine,75.49,24.51,1.9,155.0,75.0,5120.0,90.0,110.0,80.0,100.0,80.0,95.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,29.0,118.0,3.0,3.0,0.0,0.0,0.0,1,1
1.0,Poliwag,50.2,49.8,0.6,12.4,255.0,5120.0,40.0,50.0,40.0,40.0,40.0,90.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,4.0,3.0,7.0,0.0,0.0,0.0,2,1
1.0,Poliwhirl,50.2,49.8,1.0,20.0,120.0,5120.0,65.0,65.0,65.0,50.0,50.0,90.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4.0,12.0,3.0,7.0,0.0,0.0,0.0,2,1
1.0,Poliwrath,50.2,49.8,1.3,54.0,45.0,5120.0,90.0,95.0,95.0,70.0,90.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,1.0,10.0,3.0,5.0,0.0,0.0,0.0,2,9
1.0,Abra,75.49,24.51,0.9,19.5,200.0,5120.0,25.0,20.0,15.0,105.0,55.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,3.0,5.0,0.0,0.0,0.0,10,1
1.0,Kadabra,75.49,24.51,1.3,56.5,100.0,5120.0,40.0,35.0,30.0,120.0,70.0,105.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,11.0,3.0,5.0,0.0,0.0,0.0,10,1
1.0,Alakazam,75.49,24.51,1.5,48.0,50.0,5120.0,55.0,50.0,45.0,135.0,95.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,10.0,51.0,3.0,5.0,1.0,0.0,0.0,10,1
1.0,Machop,75.49,24.51,0.8,19.5,180.0,5120.0,70.0,80.0,50.0,35.0,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,9,1
1.0,Machoke,75.49,24.51,1.5,70.5,90.0,5120.0,80.0,100.0,70.0,50.0,60.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,9,1
1.0,Machamp,75.49,24.51,1.6,130.0,45.0,5120.0,90.0,130.0,80.0,65.0,85.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,2.0,20.0,3.0,5.0,0.0,1.0,0.0,9,1
1.0,Bellsprout,50.0,50.0,0.7,4.0,255.0,5120.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0,0
1.0,Weepinbell,50.0,50.0,1.0,6.4,120.0,5120.0,65.0,90.0,50.0,85.0,45.0,55.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0,0
1.0,Victreebel,50.0,50.0,1.7,15.5,45.0,5120.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.0,2.0,5.0,0.0,0.0,0.0,0,0
1.0,Tentacool,50.2,49.8,0.9,45.5,190.0,5120.0,40.0,40.0,35.0,50.0,100.0,70.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,0
1.0,Tentacruel,50.2,49.8,1.6,55.0,60.0,5120.0,80.0,70.0,65.0,80.0,120.0,100.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,6.0,3.0,3.0,0.0,0.0,0.0,2,0
1.0,Geodude,50.0,50.0,0.4,20.0,255.0,3840.0,40.0,80.0,100.0,30.0,30.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,11,6
1.0,Graveler,50.0,50.0,1.0,105.0,120.0,3840.0,55.0,95.0,115.0,45.0,45.0,35.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,11,6
1.0,Golem,50.0,50.0,1.4,300.0,45.0,3840.0,80.0,120.0,130.0,55.0,65.0,45.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,12.0,3.0,5.0,0.0,0.0,0.0,11,6
1.0,Ponyta,50.2,49.8,1.0,30.0,190.0,5120.0,50.0,85.0,55.0,65.0,65.0,90.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.0,7.0,3.0,3.0,0.0,0.0,0.0,1,10
1.0,Rapidash,50.2,49.8,1.7,95.0,60.0,5120.0,65.0,100.0,70.0,80.0,80.0,105.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,14.0,3.0,3.0,0.0,0.0,0.0,1,10
1.0,Slowpoke,50.2,49.8,1.2,36.0,190.0,5120.0,90.0,65.0,65.0,40.0,40.0,15.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,4.0,24.0,3.0,7.0,0.0,0.0,0.0,2,10
1.0,Slowbro,50.2,49.8,1.6,78.5,75.0,5120.0,95.0,75.0,110.0,100.0,80.0,30.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,6.0,27.0,3.0,7.0,1.0,0.0,0.0,2,10
1.0,Magnemite,0.0,0.0,0.3,6.0,190.0,5120.0,25.0,35.0,70.0,95.0,55.0,45.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,2.0,13.0,3.0,5.0,0.0,0.0,0.0,6,11
1.0,Magneton,0.0,0.0,1.0,60.0,60.0,5120.0,50.0,60.0,95.0,120.0,70.0,70.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,6.0,10.0,3.0,5.0,0.0,0.0,0.0,6,11
1.0,Farfetch'd,50.2,49.8,0.8,15.0,45.0,5120.0,52.0,90.0,55.0,58.0,62.0,60.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,4.0,13.0,3.0,3.0,0.0,0.0,0.0,4,2
